sample_id,sample_ts,cam_id,people_count,unknown_count,lying_count,fall_count,extra
287,2026-03-24 00:17:25.82251-07,CAM_01,2,0,0,0,"{""fps"": 26.739048605780503}"
288,2026-03-24 00:17:35.849859-07,CAM_01,1,0,0,0,"{""fps"": 30.12331281919167}"
289,2026-03-24 00:17:45.868356-07,CAM_01,1,0,0,0,"{""fps"": 28.787288748527914}"
290,2026-03-24 00:17:55.897218-07,CAM_01,1,0,0,0,"{""fps"": 29.10449449351511}"
291,2026-03-24 00:18:05.920835-07,CAM_01,1,0,0,0,"{""fps"": 29.89548742007243}"
292,2026-03-24 00:18:15.936412-07,CAM_01,2,0,0,0,"{""fps"": 27.614459247805538}"
293,2026-03-24 00:18:25.941636-07,CAM_01,2,0,0,0,"{""fps"": 29.44679974725609}"
294,2026-03-24 00:18:36.008249-07,CAM_01,1,0,0,0,"{""fps"": 29.64363079180357}"
295,2026-03-24 00:18:46.06465-07,CAM_01,1,0,0,0,"{""fps"": 21.631603463412517}"
296,2026-03-24 00:18:56.042132-07,CAM_01,1,0,0,0,"{""fps"": 28.307637761388545}"
297,2026-03-24 00:19:06.108789-07,CAM_01,1,0,0,0,"{""fps"": 24.452721984190486}"
298,2026-03-24 00:19:16.096995-07,CAM_01,1,0,0,0,"{""fps"": 30.043040223849644}"
299,2026-03-24 00:19:26.125364-07,CAM_01,1,0,0,0,"{""fps"": 28.625111471053923}"
300,2026-03-24 00:19:36.154093-07,CAM_01,1,0,0,0,"{""fps"": 24.821186785717668}"
301,2026-03-24 00:19:46.160632-07,CAM_01,1,0,0,0,"{""fps"": 27.826274200389054}"
302,2026-03-24 00:19:56.185248-07,CAM_01,1,0,0,0,"{""fps"": 30.23315421478879}"
303,2026-03-24 00:20:06.191586-07,CAM_01,1,0,0,0,"{""fps"": 29.468594290785855}"
304,2026-03-24 00:20:16.197868-07,CAM_01,1,0,0,0,"{""fps"": 28.548752757827536}"
305,2026-03-24 00:20:26.249563-07,CAM_01,1,0,0,0,"{""fps"": 29.521136277256154}"
306,2026-03-24 00:20:36.28231-07,CAM_01,1,0,0,0,"{""fps"": 29.85443990325414}"
307,2026-03-24 00:20:46.282937-07,CAM_01,1,0,0,0,"{""fps"": 25.676891135178792}"
308,2026-03-24 00:20:56.315031-07,CAM_01,1,0,0,0,"{""fps"": 29.981088569394178}"
309,2026-03-24 00:21:06.336167-07,CAM_01,1,0,0,0,"{""fps"": 27.80113751229196}"
310,2026-03-24 00:21:16.379737-07,CAM_01,1,0,0,0,"{""fps"": 24.871895893339204}"
311,2026-03-24 00:21:26.438957-07,CAM_01,1,0,0,0,"{""fps"": 29.202393625861653}"
312,2026-03-24 00:21:36.458339-07,CAM_01,1,0,0,0,"{""fps"": 28.963877191165214}"
313,2026-03-24 00:21:46.507755-07,CAM_01,1,0,0,0,"{""fps"": 24.809811149149276}"
314,2026-03-24 00:21:56.520502-07,CAM_01,1,0,0,0,"{""fps"": 28.780361511322045}"
315,2026-03-24 00:22:06.532403-07,CAM_01,2,0,0,0,"{""fps"": 24.28438625980858}"
316,2026-03-24 00:22:16.557934-07,CAM_01,2,0,0,0,"{""fps"": 28.07615138131596}"
317,2026-03-24 00:22:26.591918-07,CAM_01,1,0,0,0,"{""fps"": 28.657211080286725}"
318,2026-03-24 00:22:36.649618-07,CAM_01,1,0,0,0,"{""fps"": 30.129811530270022}"
